Style_No,Pack_Qty,Product,Fabric_Type,Order_Category,Country,Price,Quantity,Pre,Temp,CCI,Order_Month
ALGOT 5P BODY SS,5,BODY,RIB,ONLINE,Italy,1.63,7740,69.56,6.21,102.191,12
ALGOT 5P BODY SS,5,BODY,RIB,ONLINE,Japan,1.63,1260,100.46,3.04,99.05020999999999,12
ALGOT 5P BODY SS,5,BODY,RIB,ONLINE,Poland,1.63,19530,36.03,-1.43,99.55029,12
ALGOT 5P BODY SS,5,BODY,RIB,ONLINE,Sweden,1.63,9045,35.65,-7.95,100.6832,12
ALGOT 5P BODY SS,5,BODY,RIB,ONLINE,Turkey,1.63,450,84.55,3.22,94.64584,12
ALGOT 5P BODY SS,5,BODY,RIB,ONLINE,United Kingdom,1.63,8955,122.21,5.41,99.94845,12
LS RIB SET,1,T-SHIRTS,RIB,ONLINE,Australia,1.58,768,46.67,27.92,100.3343,12
LS RIB SET,1,T-SHIRTS,RIB,ONLINE,India,1.58,1452,14.03,18.49,100.7772,12
LS RIB SET,1,T-SHIRTS,RIB,ONLINE,Italy,1.58,14904,69.56,6.21,102.191,12
LS RIB SET,1,T-SHIRTS,RIB,ONLINE,Japan,1.58,840,100.46,3.04,99.05020999999999,12
LS RIB SET,1,T-SHIRTS,RIB,ONLINE,Mexico,1.58,1272,20.67,17.87,103.4214,12
LS RIB SET,1,T-SHIRTS,RIB,ONLINE,Sweden,1.58,8940,35.65,-7.95,100.6832,12
LS RIB SET,1,T-SHIRTS,RIB,ONLINE,Turkey,1.58,384,84.55,3.22,94.64584,12
LS RIB SET,1,T-SHIRTS,RIB,ONLINE,United Kingdom,1.58,12660,122.21,5.41,99.94845,12
LS RIB SET,1,TROUSERS,RIB,ONLINE,Australia,1.58,768,46.67,27.92,100.3343,12
LS RIB SET,1,TROUSERS,RIB,ONLINE,India,1.58,1452,14.03,18.49,100.7772,12
LS RIB SET,1,TROUSERS,RIB,ONLINE,Italy,1.58,14904,69.56,6.21,102.191,12
LS RIB SET,1,TROUSERS,RIB,ONLINE,Japan,1.58,840,100.46,3.04,99.05020999999999,12
LS RIB SET,1,TROUSERS,RIB,ONLINE,Mexico,1.58,1272,20.67,17.87,103.4214,12
LS RIB SET,1,TROUSERS,RIB,ONLINE,Sweden,1.58,8940,35.65,-7.95,100.6832,12
LS RIB SET,1,TROUSERS,RIB,ONLINE,Turkey,1.58,384,84.55,3.22,94.64584,12
